,artist,date,venue,city,year,setlist,venue_alt,city_alt,tour_name,start,end,url,venue_capacity,avg_price,country
1939,The Rolling Stones,2015-06-12,Citrus Bowl,Orlando,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", 'All Down the Line', 'Tumbling Dice', 'Doom and Gloom', 'Bitch', 'Moonlight Mile', ""She's So Cold"", 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Florida Citrus Bowl,"Orlando, FL, USA",Zip Code,9:30 PM,11:35 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/florida-citrus-bowl-orlando-fl-73c9c619.html,70000.0,150.0,United States
1940,The Rolling Stones,2015-06-17,LP Field,Nashville,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", 'You Got Me Rocking', 'Tumbling Dice', 'Doom and Gloom', 'Bitch', 'Far Away Eyes', 'Wild Horses', 'Dead Flowers', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",LP Field,"Nashville, TN, USA",Zip Code,9:30 PM,11:40 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/lp-field-nashville-tn-7bc926a8.html,69000.0,150.0,United States
1941,The Rolling Stones,2015-06-20,Heinz Field,Pittsburgh,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", 'All Down the Line', 'Tumbling Dice', 'Doom and Gloom', 'Bitch', 'Moonlight Mile', 'Paint It Black', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Heinz Field,"Pittsburgh, PA, USA",Zip Code,9:15 PM,11:25 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/heinz-field-pittsburgh-pa-53c90fc9.html,65000.0,150.0,United States
1942,The Rolling Stones,2015-06-23,Marcus Ampitheater,Milwaukee,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", 'Tumbling Dice', 'Doom and Gloom', ""Can't You Hear Me Knocking"", 'Moonlight Mile', 'Champagne & Reefer', 'Doo Doo Doo Doo Doo (Heartbreaker)', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Marcus Amphitheater,"Milwaukee, WI, USA",Zip Code,9:30 PM,11:40 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/marcus-amphitheater-milwaukee-wi-13c975c1.html,23000.0,150.0,United States
1943,The Rolling Stones,2015-06-27,Arrowhead Stadium,Kansas City,2015,"['Start Me Up', ""It's Only Rock 'n' Roll (but I Like It)"", 'Tumbling Dice', 'Doom and Gloom', 'Beast of Burden', 'Kansas City', 'Bitch', 'Wild Horses', 'Street Fighting Man', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Arrowhead Stadium,"Kansas City, MO, USA",Zip Code,9:25 PM,11:35 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/arrowhead-stadium-kansas-city-mo-13c955ed.html,76416.0,150.0,United States
1944,The Rolling Stones,2015-07-01,Carter-Finley Stadium,Raleigh,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", ""Let's Spend the Night Together"", 'Tumbling Dice', 'Out of Control', 'Bitch', 'Moonlight Mile', 'Shine a Light', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Carter-Finley Stadium,"Raleigh, NC, USA",Zip Code,9:30 PM,11:40 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/carter-finley-stadium-raleigh-nc-33c944d9.html,57000.0,150.0,United States
1945,The Rolling Stones,2015-07-04,Motor Speedway,Indianapolis,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", ""Let's Spend the Night Together"", 'Tumbling Dice', 'Out of Control', 'Let It Bleed', 'Wild Horses', 'Bitch', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Indianapolis Motor Speedway,"Speedway, IN, USA",Zip Code,9:30 PM,11:40 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/indianapolis-motor-speedway-speedway-in-73f6b669.html,,150.0,United States
1946,The Rolling Stones,2015-07-08,Comerica Park,Detroit,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", 'All Down the Line', 'Tumbling Dice', 'Just My Imagination (Running Away With Me)', 'Rocks Off', 'Moonlight Mile', 'Bitch', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Comerica Park,"Detroit, MI, USA",Zip Code,9:30 PM,11:40 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/comerica-park-detroit-mi-73f69a89.html,40000.0,150.0,United States
1947,The Rolling Stones,2015-07-11,Ralph Wilson Stadium,Buffalo,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", 'You Got Me Rocking', 'Tumbling Dice', 'Out of Control', 'Wild Horses', ""Can't You Hear Me Knocking"", ""Let's Spend the Night Together"", 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Ralph Wilson Stadium,"Orchard Park, NY, USA",Zip Code,9:25 PM,11:40 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/ralph-wilson-stadium-orchard-park-ny-3f681cf.html,71608.0,150.0,United States
1948,The Rolling Stones,2015-07-15,Plaines d’Abraham,Quebec,2015,"['Start Me Up', ""It's Only Rock 'n' Roll (but I Like It)"", 'All Down the Line', 'Tumbling Dice', 'Street Fighting Man', 'Wild Horses', 'Bitch', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Plaines d'Abraham,"Quebec City, QC, Canada",Zip Code,9:30 PM,11:35 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/plaines-dabraham-quebec-city-qc-canada-23f6e4a3.html,100000.0,150.0,Canada
